Movie ID,Original Title,Overview,Poster Path
1,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg
3,Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
4,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",/qJU6rfil5xLVb5HpJsmmfeSK254.jpg
5,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
6,Heat,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,/umSVjVdbVwtx5ryCA2QXL44Durm.jpg
7,Sabrina,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg
8,Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg
9,Sudden Death,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg
10,GoldenEye,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon",/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg
11,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg
12,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg
13,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg
14,Nixon,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg
15,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg
16,Casino,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",/4TS5O1IP42bY2BvgMxL156EENy.jpg
17,Sense and Sensibility,"The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg
18,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg
19,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg
20,Money Train,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg
21,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg
22,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,/oMgwJb016znNZcpDR20eXxZoW8A.jpg
23,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",/kgqS4jn60E8UIExfceMUExB3ZKK.jpg
24,Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg
25,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",/wIfP6uLXD9Ptu68SyRx8WuSNNSK.jpg
26,Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,/nNP3FDHUIyztw5eq5AejZKzqXbz.jpg
27,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg
28,Persuasion,"Anne Elliot, the daughter of a financially troubled aristocratic family, is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful, and perhaps still in love with Anne.",/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg
